0,1,2
사랑니 잇몸 부음,사랑니가 반정도 나왔는데 반은 잇몸으로 덮여있습니다  며칠 전부터 칫솔질을 잘못했는지 덮고있던 잇몸이 붓기 시작하고 통증이 있기 시작했습니다   이 안쪽 잇몸도 반대쪽에 비해 현저히 부엇구요     한국치과를 가고싶은데 해외에 있어서 치과가는게 걱정되네요    급한대로 소염제를 복용하여 통증을 가라앉히곤 있는데 병원 가봐야겠죠     아니면 단순히 사랑니가 잇몸을 뚫고나오는 과정때문에 그런걸까요   ,잇몸질환
사랑니 발치 후 하얀 줄,이틀 전 사랑니 발치하고 소독하러 오라는 말을 따로 없으셔서 소금물로 가글만 하며 관리 했는데요 오늘 거울 보니까 발치부위에 저런 하얀 줄  이 생겼더라고요 혹시 염증일까요 ,치아 유지  관리
어금니가 깨졌어요  상태 봐주시고 조언 부탁드립니다 ,안녕하세요   오래 전에 왼쪽 아래 어금니가 썩어서 치료를 받았었는데요  제 기억으로는 뿌리가 죽었다고 들었는데 의사선생님께서는 아프지 않으면 최대한 버티다가 임플란트를 하자고 하셨거든요  근데 이에 금이 간 상태로 꽤 오래 버텼는데 오늘 갑자기 이가 깨져서 저 상태가 됐습니다  통증은 전혀 없어요   저 부분에서 이상한 약맛 같은 게 난 것은  년 쯤 된 듯한데 작년 가을 치과에 방문했을 때 말씀드렸더니 약 맛이 날 상태가 아닌데  라고 하시며 그냥 넘어가시더라고요  혹시 저 쇠    때문에 약맛이 난다고 느낄 수 있는걸까요   우선 오늘 치과에 가긴 할 건데 저 상태라면 다른 방법없이 임플란트를 해야 하는 상태인가요  여러 군데 가 보라는 얘기를 들었는데 제 상황이 한 곳도 방문하는 것이 쉽지 않아서 이 곳에서 의사선생님의 도움을 받아 조금이라도 알고 가는 것이 좋겠다 싶어서 글 올려봅니다   감사합니다 ,충치  치아질환
아래쪽 사랑니 염증 전이 ,증상  아래쪽 사랑니가 염증이 생긴뒤로  어지럼증  두통  몸살  음식 못삼킬정도로 목이 부음  사랑니외에 잇몸이 군데군데 부풀어오름  혀에도 한개정도 부풀어오름   사랑니 염증상태  오른쪽 아래 사랑니 부분은 염증이 심해 많이 부풀어오름   왼쪽 아래 사랑니도 역시 음식 씹기 힘듬 위쪽 오른쪽  왼쪽 잇몸도 같이 부풀었습니다    복용중인약  이빈후과 항생제  소염진통제 먹고있습니다     질문       목이 많이 부운게 사랑니 염증이랑 관련이 있을까요      사랑니에 염증이 생겨 세균에 감염되어 몸살  두통  열 등이 날수있나요      어떻게 치료하나요  치과 갔더니  주기다리랍니다  ,잇몸질환
이거 충치인가요 ,아니먄 그냥 이빨이 부실한 건가요  ,충치  치아질환
사랑니 뽑은 후 붓기,매복 사랑니 뽑고 붓기는 어느정도 가나요   ,치아 유지  관리
무턱돌출입,제가 무턱에 돌출입인데 교정을 이미 했거든요   근데 계속 무턱에 돌출입이에요   이럴땐 수술을 해야하나요    수술하면 무슨 수술을 해야하나요    ,치아교정
돌출입 치료,이런 돌출입은 어케 치료하나요  ,치아교정
돌출입 무턱 판단 좀 해주세요,만약 돌출입이거나 무턱이라면 심한편인가요 ,치아교정
윗니 아랫니 맞물리지 않음 덧니 주걱턱 치아교정,제 치아가 위아래로 어금니  개 빼고는 맞물리지 않고 벌어져 있습니다  또 윗니보다 아랫니들이 더 튀어나와 있고 주걱턱에 덧니가 하나가 있습니다      교정 비용은 대략 얼마 정도 들까요      교정 기간은 어느 정도 되나요      보통은 어릴 때 하는 게 좋다고 하던데 지금 성인이고 교정은 몇 년 뒤로 예상하고 있는데 그때 해도 괜찮을까요 ,치아교정
