,3,4,5
0,mri 판독 도와주세요  ,Liver S 과 S 에 걸쳐 infiltrative mass lesion 이 있음 이 mass 는 주로 peripheral portion으로 arterial enhancement가 되며 wash out을 보이고 있음 이 mass 이외에도 liver both lobes에 multiple arterial enhancing mass lesion들이 있고 이 mass lesion들 또한 washout을 보이고 있음 Right portal vein 전체가 tumor thrombus가 차있는 모습이며 외부병원 CT와 비교하여 thrombus의 extent가 조금 더 증가되었음 Multiple GB stones이 있음 Spleen은 장경   cm으로 measure됨 porta hepatis에 여러개의 lymph node들이 있고 reactive lymph node의 소견으로 보임 Ascites는 보이지 않음  IMP     Large infiltrative HCC in hepatic S  and S  with multiple intrahepatic metastasis    Tumor thrombosis in right portal vein    Liver cirrhosis with splenomegaly  감사합니다  ,영상의학과
1,췌장 mri 질문입니다 ,얼마전 민트병원에서 췌장 스크리닝을 했습니다     년  월   일생  정민교  결과상 문제는 없었는데 대변이 자꾸 연한 노란색으로 나와서 담즙 폐쇄와 관련이 있나 무섭네요   복부초음파 상 문제가 없었고 췌장 mri상 문제가 없었다면 담낭 담도 담관 쪽에는 문제가 없다고 생각해도 될까요  아니면 다른 추가 검사가 필요한 상황일까요  복부초음파 상 잘 안보이는 부분이 췌장 mri에는 나온다고해서 나름 생각을 해서 복부초음파 췌장mri로 선택을 했던건데 제가 의학적 지식이 없다보니까 걱정이 되네요  답변 부탁드리겠습니다  ,영상의학과
2,뇌동맥 궁금증,보통 시술 할때 어느걸로 합니까  가랭이 찟어서 했거든요 조영술 입니까  색전술 입니까 ,영상의학과
3,뇌하수체 확장,안녕하세요    살이구요 산부인과에서 혈액검사 결과 프로락틴 수치가    가 나와서 대학병원 내분비내과를 방문했습니다  그런데 식도염약 끊고  일 지나니 혈액 검사 수치가 정상이 되었으나  엑스레이상 뇌하수체가 담고 있는 그릇   이 확장되어 있으니 mri를 찍자고 하셨습니다  이 경우 프로락틴선종일 확률도 낮다고 하시니 뇌하수체가 확장된 이유를 무엇으로 볼 수 있을까요 너무 무섭습니다    참고로 두통이나 유즙분비는 없었고  생리는 원래 불규칙했습니다 ,영상의학과
4,궁금합니다 ,솔직히 tmi이긴 한데 궁금해서 남깁니다아   종아리   면 굵은건가요   여자입니다  만약 빼려면 몇정도가 낫나요  나쁜 말은 상처받아용   저도 사람인지라 ,영상의학과
5,대학병원 예약중인데  소견서 한번 설명 부탁드려도 될까요 ,about  x cm sized lobulated contour heterogenous low density mass in pancreatic body and tail with perilesional low density nodules  abuting colonic wall thickening of distal T colon    R   pancreatic cancer with colonic extension   R   colon cancer with apncreatic extension   R   double primary colon cancer and pancreatic cancer   about    cm sized low density nodule with peripheral enhancement in S    R   hepatic metastasis  small amount of fluid collection in pelvic cavity diffuse submucosal edema of gastric lower body   R   gastritis  otherwise unremarkable,영상의학과
6,선생님 지주막낭종에대한 질문입니다 ,선생님이 지주막낭종을 수술한다해서 양안복시가 돌아오지않을것이라 얘기하셨는데  그냥 가지고 살아가도된다는것이죠 ,영상의학과
7,의사선생님 질문입니다 ,지주막낭종이 시신경을 누르고있어도 일상생활에 문제가 될   간질   발작   등등을 일으키지않는다면 그냥 살아가도되나요 ,영상의학과
8,의학용어 해석 부탁드리겠습니다 ,Findings     About    x    cm sized  ovoid shaped T  low signal intensity mass in the left c  foramen se  im        r o neurogenic tumor   Somewhat limited evaluation due to nonenhanced study      Cervical level C    WNL C    WNL C    WNL C    WNL C    WNL C    WNL C  T  WNL     Spinal cord  WNL  결론 About    x    cm sized  ovoid shaped T  low signal  intensity mass in the left c  foramen se  im       r o neurogenic tumor   Somewhat limited evaluation due to nonenhanced study   해석부탁드리겠습니다   ,영상의학과
9,골반 엑스레이 mri를 찍었는데요  ,둘다 찍었는데 제가 사진을 못찍어놔서 대신 그려서 첨부합니다   요즘 왼쪽 엉덩이 뒷뼈가 쑤시고 통증이있어서 병원에 갔는데요  엑스레이를 찍어보니 사진처럼 저부위에 뼈 안에 하얀점같이 뭐가 있길래 저게 뭐냐고 여쭤봤는데 정말 신경쓰지않아도 된다고 그냥 단순 양성혹이다 하셨는데 너무 걱정되서 MRI까지 찍었는데요   결과상 아무 문제없고 신경쓰지않고 살아도 된다하셨거든요  진짜 저런게 있나요    육안으로 봤을땐 단순 혹모양이 아니고 마치 결석같이 생겨서 조그맣고 점같은 흰색이였습니다 진짜 동그랗고 점같이 하얗게 찍혔어요 제가 제작년에 갑상선암 수술을 해서 너무 걱정이 됩니다   정말 아무것도 아니라 했으면 신경안써도 될까요  ,영상의학과
