,21,22,23
0,CT 해석 좀 해주세요,CT 해석좀 해주세요   Acute contusional hemorrhage or DAI at both Lt    ant  frontal  and both ant  temporal  and suspicious Lt  posterior  midbrain area  Acute SAH in the Rt  CPA  prepontine  Rt  perimesencephalic  Rt  basal  sylvian cisterns  and both Rt    cortical sulci  부탁드립니다  ,영상의학과
1,췌장 질문,안녕하세요 몇일전 평상시 식사를 하면 가스가 차서 병원에서 ct를 찍어 보았더니 췌장이 지방으로 덮여 있다고 하는 겁니다  보통 사람의 췌장 사진을 보니 탱글 탱글 한데 저의 췌장 사진은 지방으로 덮여서 옆으로 퍼져 흐물 거린다고 해야 하나  여튼 보통 사람의 췌장보다는 크기 자체가 컸습니다  일단 mri 촬영 예약해 두었고요  신경이 많이 쓰이네요 아픈 증상은 없고 배에 가스만 차는 현상이 있습니다 글만으로 증상을 논하기 뭐하지만 조금이라도 도움되는 답변 듣고 싶습니다 상태가 심각 한가요   ,영상의학과
2,초음파 검사상 간 끝이 뭉툭하다는데요   지방간 외 의심질환이 있나요   수원시   대초반 남 MRI 간 끝 뭉툭 ,안녕하세요 선생님   제가 한달전에 내과에서 피검사와 복부초음파를 했습니다   alt가    정도로 나오고 제가 고도비만이라 지방간이 의심된다고 하셨습니다   그런데 초음파에서 원래는 간 끝이 뾰족해야 하는데 끝이 뭉툭하다고 하셨습니다   이게 지방간이 심해서 그럴거라고 그 때 의사선생님께서 말씀하셨는데   지방간 외에도 혹시 더 심한 질환을 의심해야 할 수도 있나요   감사합니다 ,영상의학과
3,좌측 하복부 및 옆구리  상복부 불편감이 있습니다   경기   대초반 남 MRI ,    년도 좌측요로결석으로 복부 CT 찍고 ESWL 치료중 맹장염이 생겨 조영제복부 CT 후 맹장수술받은 병력이 있습니다   올해 월 결석이 다시 재발되어 응급실에서 조영제복부 CT찍고 결석 확인후 ESWL 회 치료받았습니다   돌이 두개 정도 나왔습니다  KUB 초음파 IVP상 결석 없다고 비뇨기과에서 진단받았으나  좌측옆구리 및 하복부 불편감이 지속되어  월중순 CT 촬영   좌측요관이 약간 확장되어 있고  돌은 없다고 진단받았습니다   좌측 옆구리  하복부  상복부 불편감이지속되고  있어 확인을 하고 싶으나  년동안 복부 CT 를 총 회 찍어 조영제CT 번 그냥CT 번  더 이상의 CT촬영은 안하고 싶습니다   지난주 건강검진에서 좌측신장의경미한 수신증 있다고 초음파판독나왔습니다   신장 및 요관 MRI촬영이 가능할지요  그리고 검진차원에서 상복부 MRI촬영을 같이 해보고싶은데  같은날 가능한지   아니면 다른날짜로 촬영해야 하는지 문의드립니다 ,영상의학과
4,정계정맥류 시술 후 통증이 있는데   재발한건 아닐까요   경기 파주   대초반 남 정계정맥류 , 월   일에 시술 받았는데 어제 부터 왼쪽 고환에 통증이 생겨서 그런데 혹시 재발한게 아닐지 의문입니다,영상의학과
5,pacs 판독 소견 해석좀 해주세요,pacs 판독소견        Chest Inspiration PA  No active lung lesion      Abdomen Erect Nonspecific bowel gas pattern  Low likelihood of bowel obstruction  more likely   REC   Clinical correlation  Abdomen and pelvis CT for further evaluation  if clinically indicated      Abdomen Supine Nonspecific bowel gas pattern  Low likelihood of bowel obstruction  more likely   REC   Clinical correlation  Abdomen and pelvis CT for further evaluation  if clinically indicated ,영상의학과
6,pacs 판독 소견 해석좀 해주세요,pacs 판독소견           Chest Inspiration PA  No active lung lesion      Abdomen Erect Nonspecific bowel gas pattern  Low likelihood of bowel obstruction  more likely   REC   Clinical correlation  Abdomen and pelvis CT for further evaluation  if clinically indicated      Abdomen Supine Nonspecific bowel gas pattern  Low likelihood of bowel obstruction  more likely   REC   Clinical correlation  Abdomen and pelvis CT for further evaluation  if clinically indicated ,영상의학과
7,어깨 종양 mri 결과 판독 요청,relatively homogeneouse high signal lesion with lobulated configuration at humeral neck center  metaphysis on T  weigted   proton density fat suppressed seauence  after contrast infusion  this lesion shows rim enhancement and central partial enhancement  no evidence of extramedullary extension nor soft tissue mass formation otherwise unremarkable   라는 결과를 받았습니다  어깨 종양이 양성인지 악성인지 궁금합니다  단어 몇개만 검색해보니 이상 없는것 같은데 알려주실 전문가님 부탁드려요,영상의학과
8,턱밑샘 물혹,턱밑샘쪽에 물혹이 생기면 어떻게해야하죠  터깉샘쪽이라 원래는 수술안해도되는데 턱밑샘쪽이면 특별하게 수술을 꼭 해야하나요  ,영상의학과
9,ct mri mra,ct 찍엇는데 이상이없댓는데 아직도 두통이잇어서 mri mra 까지 찍어볼필요가 잇을가요,영상의학과
