,9,10,11
0,조직검사에서 염증이고 음성아라고 합니다,며칠 전에 내장내시경을 받았는데 용종두개를 제거하고 하나는 모양이 안좋다고 해서 조직검사 결과에서 염증이라고 합니다  음성이고요 그런데 병원에서 진료의뢰서랑cd를 주면서 큰 평원으로 가라고 해서 기기 의사 선생님이 다른것에 비해서 염증 있는데가 좁다고 합니다 그래서 mri 검사랑 ct검사를 했습니다 일주일뒤에 결과 확인하러 병원 가는데 걱정이 되네요 대장암일까바 걱정입니다,영상의학과
1,  세 어머니 유방암  기 진단받았고 수술전에 ct  mri 조영제 검사 하는데요,ct  mri 각각 조영제가 다른데 같은날 검사가 잡혔습니다  조영제 부작용이 걱정됩니다  일반적으로 ct  mri 같은날 하는지요  조영제도 같은날  종류가 몸에 투입되면 부작용 발생확율도 높지않을까요 ,영상의학과
2,췌장 MRI 촬영을 해보고 싶은데요    경기 시흥   대중반 여 복부 CT MRI ,정기검진 시 복부 초음파를 통해 담석이있다는 진단을 받았고  담석으로 인한 통증으로   월 응급실 방문 후 복부 ct촬영 후 담석으로 인한 통증으로 진단 받았습니다   후에 또 복통으로 다른  차 외과에서 담낭 제거 수술을 받았는데  수술 병원에서   월 촬영한 복부 ct를 보더니 췌장에 지방인지 혹인지 모르겠다며 나중에 다시한번 ct촬영을 하라는 소견을 받았습니다   해당 ct시디를 가져가면 판독후 췌장 mri 촬영을 하고 싶은데 가능할까요  바로 소견도 들을수 있는지 궁금합니다,영상의학과
3,정상인이 뇌 mri 찍으면 안 좋나요 ,예방 차원에서 찍으려고 하는데 문제는 없나요 ,영상의학과
4, 차병원에서 MRI를 의사권유 없이 찍을 수 있을까요 , 차병원에서 MRI를 의사권유 없이 찍을 수 있을까요   제가 지금 두 달째 복부쪽이 계속 아픈데 의사소견없이는 안해준다고 들어서요   위내시경이랑 초음파는 계속했는데 아무이상 없다고 나왔습니다    잠이 안올정도로 아픈날도 있습니다 ,영상의학과
5,발목 인대 파열 만성화,발목 인대가  개월 전에 파열됐는데 군대라 제대로 된 치료를 못 받고 mri만 찍었습니다 근데 mri에서는 딱히 인대에 이상이 없다는데 인대가 늘어난상태로 붙어서 만성화가 된건가요  이럴땐 어떻게 치료해야되나요,영상의학과
6,늑연골 엑스레이,자가늑연골 코수술을 하게되면 늑연골 체취한 부분이 흉곽 엑스레이 상에서 보이나요   ,영상의학과
7,정형외과 ct  x ray,넘어지면서  엄지부분이 바닥에 대여서   혹시 인대 늘어났거나 끊어졌나 해서  가볼까하는데  ct를 찍나요 아님 엑스레이를 찍어야 하나요  가격은 얼마인가요    방기준,영상의학과
8,장에 물혹  cm,예전  개월 전에 급성 췌장염 왔을 때 ct찍었는데 장에 물혹이 있다고 했었어요  또 최근에 흉부 ct찍다가 복부가 반이 보였는데  cm의 물혹이 발견 됐어요   개월 전에 있던 물혹인데  cm 정도면 제거를 해야 되는 걸까요   물혹이 있는 위치에 배를 누르면 등 뒤로 튀어나오는데 수술 해야 될까요  솔직히 가끔씩 물혹이 있는 위치 쪽에 배가 아팠는데 이거 때문일까오    ,영상의학과
9,흉부 검사지 질문이요,한 달 전에 대학병원에서 항체검사와 흉부검사를 받았는데 저만 흉부검사지가 없다는 걸 방금 알아버렸어요  친구는 흉부검사지와 항체검사 결과지까지 다 있는데 저만 흉부검사지가 없어서 내일 받으러갈건데 추가요금을 제가 내야하나요  너무 당황스러워서 올려봅니다   한 달 전에 검사지 받았을 땐 뭐가 흉부검사지고 뭐가 항체검사지인지 몰라서 전 다 받은 줄 알았거든요  ,영상의학과
