0,1,2
교정기때문에 돌출입,교정기간이 끝나가는 사람입니다만 돌출입인것 같습니다  교정기로 인해 입이 튀어나오나요 ,치아교정
입툭튀 질문,현재 이런 상태인데 입툭튀인가요  제가 앞니가 좀 튀어나와서 앙 다물어도 혓바닥이 그 틈으로 나오거든요   이런 경우 부분교정으로 해결이 가능한가요 ,치아교정
교정전문의가 아닌 분에게 교정치료,제 상황이 좀 이상하긴한데 대략 설명을 짧게 해볼게요 치과의사선생님들 저 어떻게 해야될까요   구강안면외과  전문의 치과에서 발치후 오랫동안 임플란트를 안해서 앞에 송곳니가 뒤로 누워서 교정전문의에게 소견서를 써주고 가서 교정 받으라고함 아랫니 부분교정이 생각보다 빨리 진행이 안되자 원치과에서 교정전문의에게 가지말고 자신한테 교정받으라고함 거절할수없어서   알겠다고 함    그분한테 아래교정을 받고 바로 부분교정이 완료되긴함 근데 위에 앞니가 벌어져있는거 보더니 윗니도 부분교정기 붙여버림 근데 교정을 받으면 받을수록 아랫니랑 윗니 교합이 안맞고 불편해 교정전문의가 붙였던 아랫니 부분교정기를 떼고 다시붙임 그러니까 갑자기 아랫니가 틀어짐  오른쪽 두개가 앞으로 튀어나옴    주뒤가서 말하니까 그럴수 있다고 움직이는데 맞다고함     원래 교정전문의에게 가서 치료받고싶음      어떻게해야할까요  ,치아교정
교정 혀 나오지 말라고 한 장치,교정  년  개월 차인데 혀 나오지 말라고 아픈 장치를 했어요 근데 안 아프게 밥머키 안 아프게 말하기는 어떻게 하나요 그리고 발음 좋게 어떻게 하나요 ,치아교정
잇몸이아파요,이빨이아파서 봤는데 그 잇몸쪽이라고 해야하나요 거기에 하얀게 뭐가 있어요 만지니깐 거기가 욱신거려요  이런적은 처음이라  일지낫는데도 계속아프네요 치과가면 되나요,잇몸질환
신경치료후  개월이 지났는데요  ,신경치료후 약  개월정도 지났는데요 오른쪽 아래 어금니에 통증이 있어서요 제가 생각하기엔 썩어서 그런거 같아요 브릿지  그거할때 은으로 덮었는데 그거를 떼고 신경치료하고 다시 붙일수 있을까요   금액적으로 너무 부담이 되서 지금 통증시작한지  주가 지났는데 평소에 안아플때도 있고요 아프게되면 잠을 못잘정도로 아파서 글남깁니다  약으로 커버하기엔 더이상 못버틸거같아서 글남겨요 통증이 심해서 두통도 생겼네요    먹고 있는약의 종류는 이부프로펜   아세트아미노펜 같이 복용 중인데요 많이 힘드네요   ,충치  치아질환
어금니 통증,몇달전부터 왼쪽 어금니가 밥먹을때마다 자주 아프더라구요 그래서 병원을 갔었는데 치아에 바람 주면서 시리냐 묻길래 시리진 않아서 안시리다구 했고 그러면 그다음 시티를 찍었는데도 이상이 없대요 치아 표면에도 이상이 없다길래 그후로 그냥 지내다가 또 아프기 시작하길래 다른 병원을 갔더니 거기서도 이상이 없대요   근데 제가 부정교합이 있다구 그래서 치아에 무리가 와서 그럴수도 있대요 일단 당장은 교정을 못해서 놔뒀는데 또 괜찮다가 아프기 시작하네요 도대체 왜 아플까요    제가 그거 치아 홈 떼우는거  그걸 어릴때 해놨는데 시티에는 안잡히고 그 안으로 썩을수 있는건가요 아니면 제가 한번씩 이를 간다고 하는데 그거때문에 아플수 있는건가요  ,충치  치아질환
아랫니 신경치료 후 통증 문의드려요   ,오늘   번치아 뿌리에 염증이 생겨서 신경치료를 했습니다  오후  시에 마취 후 신경치료 진행하였고  시쯤 탁센 두 알 먹었습니다    근데 치아에 뭐가 닿기만하면 너무 아파요       원래 이런건가요     ,충치  치아질환
치과의사랑 치위생사,치위생사  랑 치과의사랑 다른가요  다르다면 어떤점이 다를까요,의치  임플란트
충치치료 및신경치료 기간,충치치료 및신경치료할때 기간 얼마나 걸릴까요 ,충치  치아질환
입 벌리면 턱뼈에서 소리나면서 아파요,고  여학생입니다 원래 입을 다물면 아래 이들이 조금씩 오른쪽으로 돌아간 부정교합인데 입을 벌리면 돌아와서 입을 벌리는 과정을 세심히보면 아래턱이 오른쪽에 있다가 원위치로 돌아와요 치과 가서 교정 얘기도 드렸는데 부정교합이 그렇게 심한것도 아니고 제가 충치가 잘 생겨서 교정한 이후 충치가 너무 많이 생길거 같다고 안 하는걸 권장하셨어요   근데 가끔 자고 일어나거나 뭐 턱 움직이면 입 벌릴 때 오른쪽 턱  정확히 어금니 뒷부분   다른사람 시선으로보면 턱선끝부분 이 뚝뚝 거리면서 아팠거든요   이런지 한    년 된 거 같아요  그래도 좀 지나면 괜찮아졌었는데 오늘 낮잠 자고 일어난 후부터 지금 밥 먹는데 계속 턱뼈가 뚝뚝 거려요    양쪽 뼈가 아니라 오른쪽 뼈만 그래서 더 불편하고 그냥 며칠에 한번 그러기도하고 하루에 몇번 그러기도하고 갑자기 이러다가 갑자기 멈추니까 병원가기도 애매합니다    병원을 가도 뼈인데 치과를 가야하는건지도 모르겠고  뼈에서 소리날때마다 소리만 나는게 아니니까 너무 스트레스받는데 어떡해야하나요,치아교정
치아교정 브라캣 탈락 관련 문의,올해 서른살이되어   일날 금요일날에 윗니 교정 와이어를 심었습니다 심는 과정에서 끝에 왼쪽 어금니에 장치 붙히는과정에 선생님께서 이쪽은 크라운 치료를 한 부분이라 잘 떨어질 가능성이 있다고 하셨습니다 아니나 다를까 금일 장치가 탈락 했는 바램에 명일 내원 하려고 하였으나 일이 바쁘게 잡히는 바램에 좀 난감하게 되었습니다 장치가 탈락한 시점부터 방치를 할 경우 교정기간이 늘어난다는 부분이 걸려서 이 부분에서 질문좀 드리겠습니다  어지간하면 탈락한 명일 내원 하려 하지만 사정상 못갈것 같습니다  오늘 날자기준으로 수요일날 내원해도 괜찮은지  질문드립니다 교정을 늦은 나이에 시작해서 걱정이 더 되내요,치아교정
어금니 뒷 쪽 잇몸이 녹은 건지 내려앉은 건지 파였습니다,한    달 전에 검은색 화살표 부위가 동그랗게 파였길래 병원 갈 시간이 없어서 인터넷 검색이라도 해보니 사랑니가 나올 거라는 얘기라고 하길래 별일 없이 냅뒀다가 어금니 밑부분 턱이 부은 적이 있었는데 사랑니는 나오지도 않고 시간 지나서 얼마 전부터 빨간색 화살표 쪽에 어금니 뒷 쪽 잇몸이 파여 있습니다   좀 깊게 파였는지 편도결석 덩어리 같은 게 낄 정도이고 어금니 뒤를 감싸는 잇몸이 다 파인 거 같아요 혹시 질환일까요 관련된 질환이 있다면 무엇이고 많이 안 좋을까요    치료비가 많이 나올 거 같아 염려가 됩니다  ,잇몸질환
치아 신경치료후 염증,안녕하세요 현재 치아교정치료중 대략      년 전에 오른쪽상단 어금니 신경치료를 하고 크라운을 씌워놓은곳에 염증이 생겼고 염증이 눈으로 확인될정도로 입안 내부  입천장쪽  으로 염증이 눈으로 보입니다  증상은 대략   일정도에 눈으로 확인되었고 이질감이 느껴졌습니다    일 교정치과 치료도중 다른치과에 가보라는 제안을받고 소견서를 들고갔습니다   일 방문한 치과에서 CT 를 찍어보고 의사선생님께서 염증이 너무 크고 심각하여  하루빨리 교정장치를 잠시 빼고 크라운 제거후 남아있는 이빨을 발치하여 그 부분의 염증을 제거하고 뼈이식   임플란트 까지 해야한다 라고 말씀하셨습니다  의사분께서 하신 말씀이 너무 당황스럽고 두려워 질문올립니다 의사분께서는 염증이 신경치료한 부분을 다 녹여서 뼈가 없다고 하셨습니다  CT사진을보며 뼈가 있어야할곳에 뼈가 없다고 말씀하셨고   다 녹았다   하루 빨리 치료하지않으면 물을 마신게 코로나올수도있다 라고 말씀하셨습니다   크라운 내부의 치아는 너무너무 오래전의 일이라 잘 기억은 안나지만 어금니가 부서져서 어금니를  등분했을때     만 남아있는걸로 기억은 합니다   찾아본결과 치아가 많이 남아있지 않은 부분은 치조골이 적어진다 는 말을 보았습니다   너무 걱정되네요   염증이 뿌리와 치조골을 녹일정도인지  의사 선생님께서 하신말이 정말    프로 맞는건지 의심 도 되긴합니다   너무 걱정되네요,충치  치아질환
치과 마취주사 유무,안녕하세요 겉보기에도 심한 충치인데 마취 안하고 중간에 시리면 한다는 건 이유가 뭐일까요  딱봐도 크기가 크고 아파보이는데 안하는 경우도 있을까요  시려서 중간에 했긴 했어요   약간의 트러블로 인해 일부러 안 해준 것처럼 느껴져서 의사선생님께 여쭤봅니다  ,충치  치아질환
앞니  토끼이빨 교정,제가 앞니만 유독 티어나와 있는데 거기다가 크기도 옆이빨들에 비해 너무 커요    이 경우에는 교정을 한다 해도 이빨이 비율이 안 이쁠거 같은데 앞니만 갈거나    크기를 줄일 수 있을까요  깎는    비용은 어느정도 들까요  그리고 그 후에 교정도 가능한지 궁금합니다 ,치아교정
턱을 괴는게 무엇인가요 ,사각턱 피하는법 찾다가 턱을 괴지 않으면 된다는데 턱을 괴는게 무엇인가요  턱을 괴는게 무엇인가요  자세히좀 알려주세요,치아교정
교정에 대해서 ,안녕하세요 제가 곧 치아교정을 하는데요  제가 질문이 좀 많아서요  번거로우시겠지만 답 부탁드립니다        교정을 하면 비대칭이 없어지나요     교정을 하면 몇년정도 해야될까요     교정을 하면 발음이 잘 되나요     교정을 하면 많이 아픈가요     교정을 할 때 드는 비용은 얼만가요     교정을 하면 목소리가 살짝이라도 달라지나요   치아교정에 대해 잘아시는분 답변 부탁드립니다 ,치아교정
잇몸내려앉음 질문,평소 스케일링응 잘하는편은 아닌데 이번에 스케일링 받으러 갔더니 전체적으로 잇몸이내려앉았다고 관리 잘 하라고 하더라고요  잇몸내려앉으면 치아가 빠지거나 하지 않겠죠  지금부터 관리 잘하면 될까요 ,의치  임플란트
유지장치 문의,치아유지장치를 잘껴도 치아가 뒤틀리는경우도 있나요 ,치아 유지  관리
기존 스플린트 똑같이 제작,교정하고 오래됐는데 스플린트를 끼니까 약간 앞니가 다시 튀어나왔던게 교정도  되는 느낌이고 이악물기가 있어서 스플린트 끼려고 하는데요  여태까지 잘 끼지않다가 지금 끼려고 하는데 스플린트를 현재 치아모양대로 말로  가지고있는 스플린트랑 똑같이 제작할수도 있나요 ,치아교정
가철식 유지장치 턱 아래 근육이 뭉친것 처럼 아파요,현재 교정치료가 끝나고 가철식 유지장치를 착용한지  일 정도됐어요  그런데 오늘 유지장치 뺀 상태에서 하품을 한 번 했었는데 턱 아래 근육이 쪼이는 것 같은 느낌이들더니 턱 아래 근육이 아픕니다  치과에 가서 문의를 해야할까요  유지장치를 착용하면 침 삼킬때도 한 번에 모아서 삼켜야 할 정도로 침 삼키는것이 힘들고 혀짧은 소리가 나오는건가요   ,치아교정
코로나 확진된 후부터 갑자기 오른쪽 어금니가 아파요 그냥 있으면 문제 없지만 다른 치아로 누르거나 손으로 누르면 욱신거려요 그래서 사진을 찍어봤,코로나 확진된 후부터 갑자기 오른쪽 어금니가 아파요 그냥 있으면 문제 없지만 다른 치아로 누르거나 손으로 누르면 욱신거려요 그래서 사진을 찍어봤는데 빨간 뭔가가 있네요    제 어금니가 왜 아픈 건가요     빨간 뭔가는 뭔가요     코로난데 어떻게 치과를 가죠 ,충치  치아질환
사랑니 발치 후 잇몸에,흰색 동그란 게 낫는데 뭐죠    발치한지  일 정도 됐습니다,잇몸질환
