,12,13,14
0, 차백신 접종후 입술떨림, 일  차접종후 집에 도착하고 한시간이 채 되지 않아 숨쉬기 어려울 정도로 가슴이 답답하고 어지러워지기 시작했어요 심각한 정도는 아닌것 같아 한숨 자고 일어났더니 숨쉬기 어려운건 없어졌고 어지러움과 미열은 계속있는상태    그러다 다음날 부터 윗입술에 떨림이 있기 시작했는데  일시적인거 같아 무시하고 지나갔는데     일째인 지금도 입술떨림이 있고 떨림이 있는 부위에 작게 발진도 났네요  병원을 가보려고 하는데 어디로 가야 할까요 ,응급의학과
1,백신 맞고 겨드랑이 쪽에 뭐가 생겼어요  ,백신    차 다 맞았는데  차 때는 없었던 증상   이  차 맞고 나서 증상   이 나타났는데 겨드랑이 안쪽을 만지면 동그랗게 생긴 알 같은게 튀어나오고 만지고 난 후에 아픈데 이것도 백신 맞고 나타난 증상인가요  지금도 아파요  ,응급의학과
2,가슴이 답답해요,어제밤부터 자기전 가슴이 답답하고 숨을쉬는게 직접쉬는 기분이들어요  평소에 앉아있거나 서있을땐 답답한건 없는데 누우기만하면 계속 그래요  식사나 게임같이 집중할땐 아예 느낌도없는데 잘때 제일심한거같아요  어제 병원에서 약을 지어왔는데 그거때문일까요  그냥 감기약인데 잘기전 너무 답답해서 자기가 불편해요  어제도 어떻게 잠들었는지 모를정도에요 뭐가문제일까요 ,응급의학과
3,화이자 차 접종한지가  개월이지났는데 주사 부위가 욱신욱신한데  ,제목 그대로  개월이 지났는데 주사부위가 콕콕 욱신욱신한데 저처럼 이렇게 오래가는분도 계신가요   주사맞고  일정도는 통증이 계속 갔었는데 그뒤론 쭉 아프지않을정도이긴하나   왼쪽팔에 맞았는데 뭘들거나   예를들면 후라이팬  아이를 안을때   좀 무거운 거 들때 주사부위가 콕콕 하는데   계속 신경쓰이네요 어 쩌다 확 욱 신 할때도있긴한데    막 아프다 이런건아니고  진짜 딱 주사맞았던 거기가 그러네요 만지면 주사맞은 그부위가 멍든 것처럼 아프다고해야하나   암튼 불편해요  멍든느낌   ,응급의학과
4,화이자  차 부작용,어제 백신  차맞은 고 학생인데요     시에 맞고   시전까지는 어깨 주위의 근육통만 있다가   시쯤 미열과 오한이 있어 타이레놀을 복용하고 얼른 잤는데요   잘때도 잠이 안와서 한  시까지는 자는것도 아니고 안자는것도 아닌마냥 있었습니다   시쯤 오한이 생겨서 타이레놀을 벅옹하고 자려고 하니 목이 마르고 약간 숨이 쉬기 불편했습니다   이거 호흡곤란인가요   만약 그렇다면 어떻게 해아하나요  ,응급의학과
5,맹장염 인가요   ,오른쪽 골반이 아파요 예전부터 조금씩 아팠는데 갑자기 아파요    오른쪽 발 올려도 배는 안 아프고요 오른쪽 골반에서 뚝뚝 소리나요  이건 뭘까요     그리고 설사도 해요    속은 조금 안 좋은데 밥은 먹었구요   배꼽 주변도 약간 통증있어요     오른쪽 배가 아픈게 아니라 오른쪽 골반이 아파요 이건 무슨 증상 인가요 ,응급의학과
6,여자 아랫배 통증,여학생인데요 생리X  갑자기 오른쪽 아랫배가 아파요   이쪽에 맹장이 있다고는 하는데 생리하려고 하는건가여   맹장염인가여      맹장염이면 수술해야하죠                                    맹장염인가요  생리 전 증상인가요      만약 맹장염이면 수술해야하죠    ,응급의학과
7,무릅 종기 같은거 생겨는대 이거 머예요,무릅에 종기 같은거 머예요,응급의학과
8,발바닥 뒷꿈치 굳은살 뜯음,굳은살들을 뜯었는데요   어느순간부터 너무 간지럽고 그래서 보니까 저렇게 동글동글 되어있는데 뭔가요        ,응급의학과
9,췌장염 증상인가요 ,연일 술마시고 단날 컨디션이 안좋으면 명치쪽아파서 체한가같아서 약도 먹고하면 괜찮아졋는데 이번에는 명치만 계속아프고 잘려고 누우면 아푸고 엎드려도 아푸고 체해사 그런가 약 먹으면 좀 나아지더니 또 담날 아침이면 아푸더라구요 췌장염 증상인가요 ,응급의학과
