,3,4,5
0,면포 압출 후 나오는 진물의 성분,면포 압출 후에 나오는 투명한 진물은 무슨 성분으로 이루어져 있는건가요  피랑 같이 섞여나오기도 하고    궁금합니다   ,응급의학과
1,일산화탄소 중독 경증인 경우 치료,어머니가 일산화탄소 중독으로 매스꺼움  구토  두통을 겪으셨습니다    이걸 거의   시간 지난후에 알려주셨습니다  혹시나 하는 마음에 급히 모시고 응급실을 갔는데  응급실은 이미 시간이 지연이 많이되서 검사를 해도 문제가 없을 것이고 이미 산소 공급을 적정하게 받아서 해줄 조치가 없다고 하네요       그래도 걱정이 되는데 따로 치료를 받을 수 있는 병원이나 의료과가 있을까요    후유증을 겪을까 걱정이네요 ,응급의학과
2,발가락 까맣게변함,걷기운동을 시작한이후로 발가락이 저렇게됐는데    일째 안사라집니다 눌러도 아프지는않아요,응급의학과
3,다리 찰과상인데 어떻게 치료해야 할까요 ,어제 축구하다가 인조잔디에 미끄러져서 이렇게 되서 소독하고 포비돈바르고 거즈랑 밴드로 보호시켜놨었습니다 약간의 화상도 입었는데 화상연고를 바로 바르는게 좋을까요  통증은 따끔따끔 한정도 입니다,응급의학과
4,봉합후 상처부위가 부어오르고 있습니다 ,손가락을 김치자르던 가위에 베어서  바늘정도 꿰멨는데요 처음에 실밥을 제거 후 처음 몇일간 잘 아문다 싶었는데 부어오르기 시작해서 괜찮은건지 한번 봐주세요   절단면부근기준으로 잘려나갔던 부위만 붓고 있습니다,응급의학과
5,뜨거운물 화상,코로나걸려서 뜨거운물  일정도 계속 먹었더니 증세는 나아진거같은데 갑자기 목에 다른 느낌의 따끔거림이 느껴집니다 목에 화상입은거 같은데 치료 어떻게 하나요 ,응급의학과
6,끓는물 화상 치료 ,끓는물이 다리에 엎어져서 병원에 왔는데   피부가 하얀색이되고  껍질이 막 올라왔어요 의사쌤이 바로 입원하고 치료받자는데 치료가 어떤식으로 진행이 되는건가요      군인이라 카메라가 잠겨있어서 사진이 없어요  ,응급의학과
7, 도 화상 질문,바비큐 그릴에 데였습니다  해외 응급실에서는  도화상이라 하였습니다  현재 겉 표면은 벗겨진 것은 없고 얕은 굳은살처럼 딱딱합니다  데이고 몇시간은 상처부위가 따가웠는데 하루정도 지난 지금은 통증은 없고  아직 진물도 없습니다  진물은 언제부터 나오며   도화상이면 심재성인가요 표재성인가요  병원 급히 가야하나요   해외라 쉽지 않네요    관리는 어떻게 해야하는지  연고  밴드 도 부탁드립니다 ,응급의학과
8,이거 화상에 딱지가 진건가요  ,제가 두달전쯤에 핫팩가지고 잤다가 핫팩이 자는 사이에 다리로 가서 화상을 입었었는데 처음엔 맨날 피부과 잘 가다가 학원시간때매 안가서 나중에 상처 보니까 계속 이렇게 되어있더라구요   딱지인가용    병원가서 약처방받아서 이 위에 바르고 그랬는데 안발라두 되는건가요,응급의학과
9,화상입은 후 피부가 오돌토돌하게 두꺼워졌습니다 , 일 전쯤 뜨거운 물에 화상을 입고  차가운 물로 응급처치를 했습니다  해외에 있어 피부과에 가기 어려운 상황입니다   화상입은 날부터 화상연고를 꾸준히 바르고 있는데  피부가 오돌토돌하게 두꺼워지면서 굉장히 건조해졌습니다  또 새살이 돋는 것처럼 간지럽습니다   잘 치유되는 과정인가요  아니면 어렵더라도 피부과를 가는게 맞을까요  현재 영국에 있고 병원에 가려면 일주일 정도 기다려야하는걸로 알고있습니다   첫번째 사진이 가장 최근사진이고 두번째 손을펴고있는사진 은 화상입은 다음날 입니다 ,응급의학과
