,6,7,8
0,앞꿈치에힘이안들어감,엊그제과음후 다음날되보니 발바닥은부어있고 앞꿈치로는 절대일어날수가없습니다 통증은정강이앞쪽이랑 종아리는뭉쳐있는느낌만들고요 왜그런건가요  ,영상의학과
1,Mri 찍으면 어디가 아픈지 알수있나요 ,모든 부위 전부 mri가 잇나요 ,영상의학과
2,폐 CT로 알 수 있는 것 무엇인가요 ,폐기능검사는 일단 했습니다     점 만점에   점 정도라고 하네요  그래서 폐CT를 찍어보자고 하는데 폐 CT를 찍어서 알 수 있는 것들이 무엇인가요  왜 폐기능이 떨어졌는지 정확하게 알 수 있는 건가요   ,영상의학과
3,이거 디스크 맞는건가요  아님  문제가 있는건가요 ,제 등 아래쪽에 허리뼈 있는 부분 조금만 색깔이 살짝 어두워요 제 원래 살 색깔이 아니라 살짝 고동색이라 해야하나요 그런 색이 되었는데 허리를 너무 굽으리고 있어서 그런건가요  ,영상의학과
4,질 내 이물질,술에 취해서 질 안에 손가락을 넣었다가 뺐었는데 술 깨니까 인조손톱이 없어져있더라구여   손을 넣었을때 인조손톱이 질 안에서 빠졌는지 아니면 그 전에 빠졌었는지 기억이 안나서요    손가락 넣어보면 안에 있는지 알 수 있나요  아니면 더 자궁 안 깊은곳으로 딸려들어갔을수도 있나요   ,영상의학과
5,엑스레이  MRI 관련 질문,병원에서 엑스레이나 MRI를 찍고 환자가 원할 경우 기록삭제가 가능한가요   진로때문에 기록이 남으면 불이익이 생겨서요  ,영상의학과
6,방사선노출막는법 없나요 ,출장검진차량에서 매일 GI촬영할때 수검자의 체위를 바꿔주는 일을하고있는데요 방사선노출은 괜찬은지요 혹시 노출이된다면 막는 방법은 없는지 알려주세요 ,영상의학과
7,군병원 엠알아이 질문,저가 허리 엠알아이랑 엑스레이를 찍었습니다 제가 평상시에 앉아있거나 누워있으면 오른쪽다리가 눈에 보이게 왼쪽다리보다 깁니다 그래서 그런지 엉치쪽 골반쪽에 통증이있고 다리가 계속 누가 누르는 느낌  저리는 느낌이 납니다 엠알아이는 허리 찍었는데 골반도 뒤틀린지 확인이 되나요  엑스레이로 골반도 찍은거같은데 엑스레이로도 골반이 뒤틀린지 보이나요 ,영상의학과
8,뇌 spect 검사 비용이 대체로 어떻게 되나요 ,  대 남성이고 특별한 정신과적 질환은 없습니다만 어릴때부터 뇌 Spect 촬영을 해보았으면 하는 생각이 있었습니다  단층검사로 뇌혈류를 스캔하면 뇌의 어느 부분이 과민하고 어느 부분이 지체 되어있는지 판독할 수 있다고 아는데요  특별한 질환이나 보험 적용 저렴한 실비보험만 있습니다 없다면 대체적으로 비용이 어떻게 될까요  검색을 계속 해봐도 비용을 따로 적어둔 곳은 없는 것 같아 지식인에 글 남깁니다  그리고 PET CT 촬영으로 갈음해도 기능이나 비용은 큰 차이가 없을까요   거주지가 서울이라 검사는 수도권내에서 받고자 합니다 ,영상의학과
9,만   세 여성  작년  월 아래와 같이 검진에서 갑상선 초음파 결과를 받았습니다  보니까 오른쪽    cm 비정형 결절은 제작년  월 세침검사,만   세 여성  작년  월 아래와 같이 검진에서 갑상선 초음파 결과를 받았습니다  보니까 오른쪽    cm 비정형 결절은 제작년  월 세침검사에서 양성이 나왔던 부위같습니다  혹시 추가 세침검사를 지금 해야할지요  초음파 시 추적관찰 여부만 물어보시고 검사권유x ,영상의학과
