,24,25,26
0,화이자 백신 하혈 후 생리멈춤,일주일정도 생리를 하고 나서 화이자  차를 맞았는데 하루정도 지나고 또 일주일동안 하혈을 했거든요 생리하는만큼요 근데 맞은 이후로 두달동안 생리를 안 하고 있어요 왜그렁건가요 병원가봐야하나요   미성년자예요,가정의학과
1, 일정도 계속해서 오심 증상이 있네요,여자친구가 화이자  차 백신 접종을 한 이후에 뭘 먹기만하면 속이 안좋다고 얘기를 합니다   소화제도 먹어보고 매실원액 등도 먹어봤는데 나아지지도 않고   처음엔 화이자 백신 후유증인가 싶었는데 그 기간이 계속 길어지니까 답답하기만 합니다    왜그런지 알 수 있을까요,가정의학과
2,코로나 검사,제가 지금 열이 좀 있는 거 같아서 그러는데요 전 최근 나간적도 없고 지금까지 확진자랑 같은 장소나 간적도 없어요 근데 코로나 걸릴 수가 있나요  저저번주에 목이 아파 병원을 가긴 했었는데 그때 열이     정도였습니다 근데 지금까지 열이 안떨어지는 거 같고 타이레놀도 몇번 먹었는데도 안떨어지는 거 같아요 체온계가 없어서  잘 모르겠어요 코로나면 미각 후각 떨어진다는데 그건 없어요 검사를 받아봐야 할까요 ,가정의학과
3,발톱 나는데 걸리는 기간,발톱이 좀 많이 들려서 병원에 갓더니 빼는게 나을거 같다면서 뺏어요  완전히 다시 나는데 얼마나 걸리나요 ,가정의학과
4,다이어트 한약 복용 후 삭센다,제가 다이어트 한약을  달 정도 먹다가 삭센다로 갈아타려고 하는데 그러면 삭센다가 효과가 없을까요   주분 한약을 처방받을지 삭센다로 갈아탈 지 고민입니다 ,가정의학과
5,술먹고 심장박동 빨라짐 척추찌릿찌릿함  왜이런거죠 ,요근래 스트레스 많이 받고 그래서 이틀동안 신랑하고 술한잔했는데   첫날은 아무증상없다가 어제 갑자기 심장이 빨리 뛰면서 척추쪽이 찌릿찌릿하면서 엄청아팠어요   뭔가 심장이뛰면서 그반동에 척추가 찌릿 찌릿 찌릿한거요    어제 먹었을때는 괜찮다가 갑자기 이런반응들이 나오니  이제는 몸이 진짜 망가졌는지 위도 아프고 그러네요   그래서 병원에 가보려고 하는데 어느병원에 어느과가야하는지   심혈관쪽을 봐야하는지 정형외과나 소화기내과쪽을 봐야 할까요    왜이런건지 평소에는 안그러다 갑자기 저런증상이 나타나네요  ,가정의학과
6,코로나 확진자인데 계속 아파요,안녕하세요  어디에 문의해야할지  몰라서 지식인에 문의해요    월  일에 확진판정 받고 고열 몸살 두통 후각미각저하 있었습니다     일에 병원입원하고 입원하고나서는          도 유지하다가  피검사시 염증 수치 좋았음    일에 퇴원했는데   일에 격리해제도 받았어요     일부터 열이 다시   도 이상 발생  현재인  월 일까지 계속 매일   도 이상이에요    몸살 가래 후각미각은 한      정도 돌아왔슴다  타이레놀 탁센 코감기약 번갈아가며 먹는데도 계속 열이나요   저처럼 계속 아픈 사람들도 있나요  뉴스에선   일지나면 없어진다는데 저는 계속 아픕니다    회사 출근때문에 검사 회 받았는데  회다 미결정나왔구요  보건소에 아프다고 했는데 이미 격리해제되서 괜찮다고만 하네요    확진자중에 저와같이 계속 아프신분들 계신가요  아님 제가 특이 체질인것일까요   ,가정의학과
7,지방세포의 수명과 다이어트,지방세포의 수명은   년이라고 어디에서 본 것 같은데 그럼 다이어트 할 때는 어떻게 되는 건가요  지방을 태운다고 하는 것과 같이 운동을 하면 지방세포의 수명이 더 단축되는 건가요  아니면 열에 의해서 타는 걸까요  이 둘의 연관성이 궁금해요  ,가정의학과
8,콜레스테롤 관련 질문입니다 ,갱년기 오고 건강검진을 했는데 결과에 좀 충격 받았어요  HDL    LDL     TG    공복혈당    이 나왔고 총 콜레스테롤 수치가    로 나왔는데  인터넷에 나와있는 계산방법으로 해보니 총 콜레스테롤 수치가      이 나오는데 검진 결과가 잘못 나온 것인지 궁금하기도 하구요  어떤 영상을 보니 전 ldl은 높게 나오지만 tg는 낮은데 이 수치를 어떻게 받아들여야할지요   년전에는 모두 정상 수치였어요  평소에  주일에    번 등산을 하고 평일엔 보통 스트레칭 정도 하며 마른 체형입니다  보통 채식 위주로 식사를 하는데 몇 달 정도 하루에 아이스크림  개  몇년간 즉석커피  잔  과일을 좀 많이 먹었는데 이게 영향을 끼쳤는지도 궁금합니다 ,가정의학과
9,턱살은 빼고 볼살은 찌는법 좀요      내공   ,볼살이 없어서 좀 동안이 아니에요 그래서 볼살을 좀 찌고싶거든요 근데 먹으면 꼭 턱살로 가는 편이라 턱살이 좀 많거든요 그래서 그런데 턱살은 빼고 볼살은 찌는법 좀 알려주세요   ,가정의학과
10,건강 질문 이에요,안녕하세요  제가   월   일부터 한끼만 먹고 그 한끼 마저도 제대로 많이 먹지도 않았어요  그리고 코피가 매일같이 나고 코피가 나면 많이 나고 잘 안멈춰요  너무 어지럽고 감기도 걸려서 지금  일 넘게 안났고 있어요  오른쪽 귀가 좀 먹먹한 느낌이 들어요  몸이 이래서 그런지 몸무게가    키로 정도 빠졌어요  어떻게 해야할까요 ,가정의학과
11,폭식이 심해서   kg 까지 쪘어요,중  때 부터다이어트를 시작 하다가 요요가 와서 고도 비만 까지 왔어요 그후 식탐이 심해져서 걱정입니다 게다가 키도 작아서 심장마비 걸릴까봐 걱정입니다 폭식하고 그런걸 고치고 싶어요    조절을 못하겠어요   ,가정의학과
12,종아리성형 고민중입니다,평소에 종아리가 두꺼워서 컴플렉스 입니다  특히 여름에 치마 입을때 완전 스트레스라서 종아리성형 해볼까 하는데요  어떤거 하면 좋을까요  평소에 운동은 거의 안하는 편입니다,가정의학과
13,덱사 근육주사로 주    회 로  년 좀 넘게 투여중입니다    부작용 질문드려요,안녕하세요 다름 아니라 제가 덱사 주사를 엉덩이 근육 주사로 주     회씩 지금   년 좀 넘게 맞고 있습니다  척추통증 전신염증 기관지 문제 때문에 그렇구요  그런데 이게 남성 호르몬  이 들어가는걸로 아니 스테로이드 인가  여튼 그 성분이 있는거로 아는데  혹시 그럼 저렇게  주     회 씩 덱사    앰플  을  년 좀 넘게 장기 투여  근육주사  했을시  일어날수 있는 부작용이 어떤것인지 궁금합니다  혹시 과 투여 인가요   당장 멈춰야 할까요  딱히 몸에 이상반응은 없습니다  제가 이렇게 주사맞는게 투여량 overdose 인가요   ,가정의학과
14,한쪽 가슴에만 몽우리가 잡혀요,  살입니다 초경  월쯤에 한 뒤로 생리는 안하고있고 지난주 목요일에 화이자  차 맞았는데 토욜쯤부터는 근육통만 살짝 있고 괜찮았어요  혹시나 백신 관련이라면요    제가 오늘 아침에 가슴을 보니까 원래도 왼쪽이 더 큰 짝짝이긴 했는데 왼쪽만 더 커져서 빵빵해진 것 같고 동그랗게 뭔가가 만져졌어요 그리고 원래 바람같은 거 맞으면 추워서 유두 부분이 쪼그라들고 딱딱해지잖아요 왼쪽만 안 그러더라고요 몽우리가 생긴 거 같은데 뭔가여  몽우리가 아니라면 뭘까요  문제 있는 건 아니죠  그 전에는 이런 적 없었어서요,가정의학과
