,3,4,5
0, 개월지난 요구르트 실수로 마셨음,그 미니 요구르트 말구 좀 큰거 있잖아요 그게  개월 지났는데 모르고 다 마셨나봐요     병원에 가봐야 하는거 아닌가요    전문가가 답 해주시길 바랍니다 ,가정의학과
1,코로나 증상인거 같은데 음성,코로나 증상처럼 목아프고 코가 맹맹하고 막히고 그래요 재채기 하고 근데 자가키드 혼자 했는데 음성이여서 혹시 몰라 병원가서 했는데 음성나왔어요 pcr검사 하고 싶은데 양성이여야만 할수 있는걸로 아는데 진짜 인가요   아님 얼마정도 하나요 ,가정의학과
2,허벅지 살 빼는 법,안녕하세요 저는 올해 중   되는 여학생 입니다  제가 작년 까지만 하더라도 말랐는데 갑자기 폭풍성장해서 지금 제 키가    에다가 몸무게가   kg나 나가요     허벅지랑 골반이 많이 굵어   졌는데 허벅지 살빼는법이 없을까요     ,가정의학과
3,앉거나 누워있다가 일어서서 어지러움,누워서 휴대폰 한    시간 정도 보거나 앉아서 컴퓨터 한    시간 정도 하다가 일어나서 밥 먹으려고 하면 살짝 어지럽고 일어나서 아무것도 안 먹었는데 이상하게 배부르고 아무것도 안 먹고 싶고 살짝 두통이 있습니다  조금 심한 날은 하루에 아이스크림   개 나 음료   캔  만 먹고도 배가 안 고픈 날이 있습니다  나만 그런게 아니라 친구들도 그럴까 친구들에게 물어보니 자기들은 안 그런다면서 병원이나 가보라더군요 그래서 이런 이유가 있을까요  키    cm에 몸무게   kg으로 아주 정상적인   대 초반 남자입니다 ,가정의학과
4,코로나 확진,백신  차도 안맞고 항원검사에  줄나와서 그러는데 혹시 경험담이나 정보 알려드리실분들은 감사하겠습니다 ,가정의학과
5,신속항원검사 진단서,언니가 신속항원 검사 했더니 양성 나왔습니다   지금 pcr검사 기다리고 있는 중이고요   그래서 학교 쌤께 말했는데 쌤이 학교 나오지 말라고 하셨어요 그리고 내일 진단서 가지고 잠깐 나오라고 하셨는데 신속항원검사 진단서 말하시는건가요  아니면 pcr문자  그거 말하는건가요   병원에서 신속항원검사 진단서는 안 주고 양성이라고만 하셨대용   병원에서 달라고 하면 주겠죠 ,가정의학과
6,종아리성형 고민중인데요 ,종아리가 굵어서 항상 스트레스 거든요  그래서 종아리성형 받아볼까 하는데 어떤거 받아야 하나요  보통 보톡스 많이 하던데 보톡스 맞으면 될까요 ,가정의학과
7,디에타민 먹으면 왜 기분이 좋아지나요 ,넥사론정도 따로 먹고있는데 디에타민이 훨씬 효과가 좋은거 같아요 넥사론정은 항우울제고 디에타민은 식욕억제제인데 왜 디에타민을 먹으면 이렇게나 기분이 좋아지나요  계속 이 기분으로 살고싶어요 디에타민이 내성 생긴다는건 식욕 억제 말하는 건가요  이렇게 기분이 좋아지는 것도 계속 복용하면 점점 줄어드나요   디에타민이랑 비슷한 계열의  장기 복용 가능한  항우울제 없나요  제가 먹고있던 항우울제보다 훨씬 좋아요 너무너무 좋아요   가격이 너무 비싸긴 하지만   디에타민 독하다 들어서 디에타민이랑 비슷한 약 없나요,가정의학과
8,이런말 해도 될지 모르겠는데  ,저 코로롱 걸리는게 낫다고 생각들었어여 모든상황에선 아니지만 지금 같은 상황이 또 상간다면 차라리 코로롱에 걸리는게 낫다고 판단해여 지금 친구들중에서도 확진이 나오고 저희 가족도 나오는데 저만 안나오고 있어여 이걸 다행이긴 한데 제가 일상생활을 하기 너무 두려워요 음성이구나 생각하고 나갔다가 양성이면 다른분들깨 너무 죄송하고 또 안나가자기엔 제 가야하는곳등을 못가니 진짜 미치겠어여 차라리 코로나 걸리고 나서 치료를 받으면 맘이 편할텐데   저도 전에는 절대 걸리지 말고 마스크 잘쓰고 다녀야지 이랬는데 이제는 집에서도 마스크 밖에 나가기도 무섭고   힘드네여,가정의학과
9,코로나 확진자 책,코로나 확진자인데 공부할 때 썼던 책들은 코로나 완치되면 버려야 하나요  아직 덜 썼고 두고두고 봐야 하는 개념노트인디,가정의학과
10,코로나 걸렸는데용,저희 가족이 전부 다 걸렸는데 그럼 가족끼리도 다 붙어 있어도 되나요  그 사람이 썻던 물건도 만져도 되나요  만약 한 명이 완치를 하면 다시 재감염이 될 수도 있나용 ,가정의학과
11,오래 앉아있을때 다리 저림,의자에서는 거의 안그런데 화장실에 좀 오래 앉아있다보면   분 이상  한쪽다리에만 쥐가 심하게 납니다 발이 제일 저리고 종아리까지 느낌이 무뎌져요 차가워지고요   혈액순환에 문제가 있는건가요  골반이 틀어져서 그럴까요   병원을 가봐야하는지 모르겠습니다 ,가정의학과
12,코로나 메스꺼움,제가 코로나에 걸렸는데 증상보니까 메스꺼움 구토 증세가 있던데요 제가 토하는걸 굉장히 싫어하는데 메스까움이 발생하는 이유가 두통이나 인후통 때문인가요   ,가정의학과
13,코로나 초기 증상,어제 코로나 확진자랑 밀접접촉을 했는데요 오늘 아침부터 목에 가래가 끼고 침 삼킬 때마다 목이 따끔거리고 심장이 빨리 뛰어요 잠도   시간이나 잤는데 방금까지  시간이나 더 잤어요  몸도 조금 무겁고요 코로나 초기 증상인가요  자가키트 해보긴 했는데 음성 나왔어요,가정의학과
14,목 아픔  가래,확진자랑 키스 하고 같은 공간에서도 확진자 나왓는데 저는 자가키트 네 번 했는데 음성 떳어요 그리고 인후통이랑 가래같은 침도 나와요 키트에서 음성 나오면 학교 나와야 한다는데 그냥 가면 되겟죠   ,가정의학과
15,오미크론 확진 후 기운없음 관련 질문입니다   ,  대인 엄마가 코로나 확진 판정을 받았는데  기운없음과 속 메스꺼움이 해결이안됩니다 비대면 진료로 병원에서 약 처방을 받았는데 그걸 먹어도 기운없음과 메스꺼움은 도저히 나아지질 않아요 뭘 어떡해야 할지 모르겠습니다       기운이 없는건 어떻게 해결을 해야하나요  기가 계속 빠지고 온몸에 힘이 빠지고 없대요    기운이없어서 식욕도 없어서 밥도 못먹고 죽만 먹고 있네요   죽도 겨우 먹습니다  다른 증상은 거의 없거나 미미하고 기운없음 메스꺼움 설사 이 세가지가 너무 심하셔요     엄마가 너무 힘들어합니다  기운없음을 해결할 방안이 있을까요   ,가정의학과
16,생활치료센터 입소,만약 집에   대 이상 고위험군인 분과 같이 살고 있는데   살 관리대상x 이 코로나 확진 받으면 생활치료센터로 격리 들어갈 수 있나요   고위험군과 같이 살고 있어서 감염 우려의 이유로요     집이 좁고 환기가 잘 안되기도 하고  화장실이 한개라서요       거주지역은 평택입니다  이러한 이유로 입소 가능한 지 여쭤봐도 괜찮을까요 ,가정의학과
17,코로나 잠복기,제가 토요일에 코로나 걸린 친구하고 놀았는데 물론 마스크는 안 벗었어요 그래서 일요일에 자가키트로 검사해보니깐 음성이 나왔습니다 어제는     였고 목만 조금 아팠는데 오늘은   도까지 올라가고 목이 걸걸해지고 아픕니다 그리고 오늘 자가키트 해봤는데 음성 나왔고요 이거 코로나 인가요    ,가정의학과
18,갑상선수치요 ,Tsh      t       t       갑상선수치가 이렇게나왔는데  개월전에는 정상범위였는데 갑자기 이럴수 있을까요  채혈때 몸이않좋았고 전날 힘나라고 링겔맞은게 영향이있을수 있을까요 ,가정의학과
19,발가락 까만점  흑색종 ,안녕하세요   주 전 부터 발톱에 작은 까만 점이 보여 어디에 찍힌줄 알고 신경안썼는데  또하나가 발견됐어요  뭐죠 이게     알려주세요 ,가정의학과
20,오미크론 목아픔 증상만 있을수 있나요 ,주말에 확진자랑 밥을 먹었는데 가만히 있을때 콕콕 찌르는것 처럼 너무 아파서 자가키트  번 했는데 음성 나왔고 병원가서 신속항원검사 했는데 음성 나왔는데 혹시 몰라서 의사 소견서 갖고 PCR검사 하고는 왔는데 낼 결과를 봐야 알겠지만 원래 오미크론이 점점 목이 더 아파지고 귀까지 아파질수 있나요  그리고 잠복기에는 음성이 나오고 몇일뒤 확진되신분도 계신가요 ,가정의학과
21,가습기 틀면 기침,최근 오미크론에 걸렸다가 자가격리 풀린지 일주일쯤 됬습니다 걸린 뒤부터 목구멍과 입안  입술이 너무 건조해서 깨는 일이 너무 빈번해서 작은 가습기를 구매했습니다 세척 후 가동시켜 얼굴 가까히 대고 호흡했더니 기침이 너무 나요  생각해보니 코로나가 터지기 전에도 감기로 인해 병원에 내원했을때 이따금씩 가습기와 흡사한 기계 에서 나오는 수중기 같은걸 코와 입으로 들이마시라고 했었는데 그때도 항상 기침이 나왔어요 무슨 치료인지 명칭을 모르겠어요   이런 증상이 왜 나타나는지   혹시 무슨 병같은건 아닌거죠     호흡기랑 기관지 쪽이 좀 좋지않긴 합니다 천식 유무는 모르겠으나 비염 등을 달고사는 사람이긴 한데   그럼 촉촉한 가습기가 더더욱 좋은거 아닌지    왜 그런건지 궁금합니다,가정의학과
22,금단후증상으로 열이나는게 있나요  금연  일차인데 열이나고 오한이 나네요  시기가 시기인지라 금단후 오는 증상중에 열과오한이 있는지요    혹시,금단후증상으로 열이나는게 있나요  금연  일차인데 열이나고 오한이 나네요  시기가 시기인지라 금단후 오는 증상중에 열과오한이 있는지요    혹시 오미크론 코로나일까 걱정도됩니다만 다른통증은 없고 열과오한만 있어서요  답변부탁드립니다 ,가정의학과
23,산소포화도 맥박수,제 아는 지인이 양성인데 산소는 정상으로 나오고   맥박은 어제는   나오다가 갑자기 오늘은    나오면서 깜빡깜빡 거린다는데 괜찮은 건가요   그리고 수영 다닐 때도 원래 심박수가   대 나왔었대요,가정의학과
24,이게 무슨 흉터인가요 ,어렸을때 부터 계속 있던 흉인데요 갑자기 궁금해져서요 제 기억으로는    살때부터 있었던 같아요 어깨에 있는 흉입니다,가정의학과
25,가족 코로나 확진,한 집에 같이사는 가족 중 한 명이 코로나 확진되면 그 사람은 어디서 자가격리하나요  화장실이 하나면 어쩔 수 없이 같이 쓰나요    ,가정의학과
26,몽유병인가여  ,제가 다이어트 한다고 막 밥 먹지 말자 이러는 생각에 요즘 차있는데 식욕이 왕성 하다보니깐 자꾸 못 참고 먹으니깐 먹고 나서 스트레스 받고 막 아 진짜 먹지 말자 이러면서 약간 강박    이 있는데 아무튼 그런데 제가 갑자기 자다가 일어 나서  아 배고프다고  아 진짜  이런 말을 해서 가족들이 다 깨고 엄마가 암바한테  아빠가 거실에 계셨는데   얘 밥 먹으러 간대    어   이런 말들을 하셨습니다 근데 제가 그럼 말을 하고 화장실로 갔다는 겁니다   저는 분명 그런 기억이 없는데 동생이 갑자기 동영상 보여주면서 언니 미쳤다고 그러더라구요 저 몽유병인가요 전에는 혼자 누워서 말만 조금 많이 한 그런 상태였어요,가정의학과
27,이 증상 아시는 분 ,자꾸 머리가 아프고 어지럽고 속은 완전 울렁거려서 토할랑 말랑 하고요 너무 춥습니다 며칠전만 해도 고온을 하면 뜨거워서 못 했는데 너무 추워서 고온으로 합니다 하지만 너무나 춥네요 코로나 검사해봤을 때는 음성이 나왔습니다 그냥 폄범한 감기일까요 ,가정의학과
28,전자기기에서 삐소리와 웅웅거리는 소리,제가 평소에는 인식을 못했는데 이번에 에어팟  세대를 사면서 오른쪽에서 웅웅거리는 소리가 들리더군요 그래서 에어팟이 이상한가하고 가족이나 친구들에게 이 소리가 들리냐고 물었는데 저만 들리는거 같더라구요 그 후 오른쪽 귀에서만 티비에서 전자파소리  삐소리가 거슬리게 들리고 휴대폰에서도 오른쪽 귀에서만 전자기기 소리같은게 났는데 원인이나 질병이면 병명 같은거 아시면 알려주세요 ,가정의학과
29,강남성모병원에 종합검진을 받으려 하는데,비용이 비싸서  진료부터 먼저 받고 소견서를 가지고 종합검진을 받아보려 합니다   그 진료를 내과를 가야되는지 가정의학과를 가야되는지  어떤 진료과목을 통해 진료를 받고 검진해야된다 라는 소견서를 받을 수 있을까요   ,가정의학과
30,발톱을잘못잘랐더니 이렇게됐는데 뭔가여 ,제가 발톱을자르다가 발톱 옆부분을 다 잘라버렸습니다   그러더니 그 발톱 옆부분이 이렇게 됐는데 병원가야하는수준이가요  아니라면 어떻게 대처하나요 ,가정의학과
